codigo_ibge,ano,turno,data_eleicao,cargo,aptos,secoes,comparecimento,abstencoes,votos_validos,votos_brancos,votos_nulos,votos_nominais,votos_legenda
4203105,1994,1,1994-10-03,deputado estadual,4875,0,4141,734,3304,318,516,3237,67
4203105,1994,1,1994-10-03,deputado federal,4875,0,4141,734,2737,779,622,2644,93
4203105,1994,1,1994-10-03,governador,4875,0,4141,734,3346,684,108,3346,0
4203105,1994,1,1994-10-03,presidente,4875,0,4141,734,3486,432,220,3486,0
4203105,1994,1,1994-10-03,senador,4875,0,4141,734,5803,1989,487,5803,0
4203154,1994,1,1994-10-03,deputado estadual,1965,0,1452,513,974,231,244,947,27
4203154,1994,1,1994-10-03,deputado federal,1965,0,1452,513,758,391,300,702,56
4203154,1994,1,1994-10-03,governador,1965,0,1452,513,1081,339,29,1081,0
4203154,1994,1,1994-10-03,presidente,1965,0,1452,513,1210,166,73,1210,0
4203154,1994,1,1994-10-03,senador,1965,0,1452,513,1878,760,263,1878,0
4203204,1994,1,1994-10-03,deputado estadual,14791,0,12408,2383,8114,1936,2355,7834,280
4203204,1994,1,1994-10-03,deputado federal,14791,0,12408,2383,7954,2013,2438,7766,188
4203204,1994,1,1994-10-03,governador,14791,0,12408,2383,9285,2425,695,9285,0
4203204,1994,1,1994-10-03,presidente,14791,0,12408,2383,10248,1094,1063,10248,0
4203204,1994,1,1994-10-03,senador,14791,0,12408,2383,14332,8182,2299,14332,0
4203303,1994,1,1994-10-03,deputado estadual,6977,0,6130,847,3814,945,1368,3553,261
4203303,1994,1,1994-10-03,deputado federal,6977,0,6130,847,3118,1401,1608,2886,232
4203303,1994,1,1994-10-03,governador,6977,0,6130,847,4663,1218,246,4663,0
4203303,1994,1,1994-10-03,presidente,6977,0,6130,847,5147,576,404,5147,0
4203303,1994,1,1994-10-03,senador,6977,0,6130,847,7381,3873,1003,7381,0
4203402,1994,1,1994-10-03,deputado estadual,6012,0,4686,1326,2958,1050,675,2943,15
4203402,1994,1,1994-10-03,deputado federal,6012,0,4686,1326,2432,1434,817,2409,23
4203402,1994,1,1994-10-03,governador,6012,0,4686,1326,3505,1059,119,3505,0
4203402,1994,1,1994-10-03,presidente,6012,0,4686,1326,3633,777,273,3633,0
4203402,1994,1,1994-10-03,senador,6012,0,4686,1326,5299,3645,425,5299,0
4203501,1994,1,1994-10-03,deputado estadual,16330,0,12472,3858,7746,2307,2416,7476,270
4203501,1994,1,1994-10-03,deputado federal,16330,0,12472,3858,7212,2727,2530,6922,290
4203501,1994,1,1994-10-03,governador,16330,0,12472,3858,9621,2560,288,9621,0
4203501,1994,1,1994-10-03,presidente,16330,0,12472,3858,10692,1229,548,10692,0
4203501,1994,1,1994-10-03,senador,16330,0,12472,3858,15563,8093,1285,15563,0
4203600,1994,1,1994-10-03,deputado estadual,23016,0,19169,3847,14515,2273,2380,14322,193
4203600,1994,1,1994-10-03,deputado federal,23016,0,19169,3847,10257,5709,3202,9917,340
4203600,1994,1,1994-10-03,governador,23016,0,19169,3847,15289,3261,616,15289,0
4203600,1994,1,1994-10-03,presidente,23016,0,19169,3847,16160,1979,1027,16160,0
4203600,1994,1,1994-10-03,senador,23016,0,19169,3847,22763,13205,2367,22763,0
4203709,1994,1,1994-10-03,deputado estadual,5587,0,4780,807,3823,511,443,3690,133
4203709,1994,1,1994-10-03,deputado federal,5587,0,4780,807,2654,1426,697,2499,155
4203709,1994,1,1994-10-03,governador,5587,0,4780,807,3802,827,148,3802,0
4203709,1994,1,1994-10-03,presidente,5587,0,4780,807,3947,533,297,3947,0
4203709,1994,1,1994-10-03,senador,5587,0,4780,807,5488,3524,545,5488,0
4203808,1994,1,1994-10-03,deputado estadual,36336,0,31107,5229,20309,4817,5978,19849,460
4203808,1994,1,1994-10-03,deputado federal,36336,0,31107,5229,20709,4443,5952,20203,506
4203808,1994,1,1994-10-03,governador,36336,0,31107,5229,24676,5106,1322,24676,0
4203808,1994,1,1994-10-03,presidente,36336,0,31107,5229,26921,2286,1897,26921,0
4203808,1994,1,1994-10-03,senador,36336,0,31107,5229,39815,17750,4646,39815,0
4203907,1994,1,1994-10-03,deputado estadual,10520,0,9142,1378,6308,1083,1749,5997,311
4203907,1994,1,1994-10-03,deputado federal,10520,0,9142,1378,4684,2432,2024,4278,406
4203907,1994,1,1994-10-03,governador,10520,0,9142,1378,7410,1393,336,7410,0
4203907,1994,1,1994-10-03,presidente,10520,0,9142,1378,7781,830,528,7781,0
4203907,1994,1,1994-10-03,senador,10520,0,9142,1378,11383,5618,1280,11383,0
4203956,1994,1,1994-10-03,deputado estadual,10740,0,9550,1190,7165,874,1508,6889,276
4203956,1994,1,1994-10-03,deputado federal,10740,0,9550,1190,6210,1542,1795,5895,315
4203956,1994,1,1994-10-03,governador,10740,0,9550,1190,7619,1519,409,7619,0
4203956,1994,1,1994-10-03,presidente,10740,0,9550,1190,8434,556,557,8434,0
4203956,1994,1,1994-10-03,senador,10740,0,9550,1190,12790,4956,1351,12790,0
4204004,1994,1,1994-10-03,deputado estadual,4467,0,3828,639,2670,503,652,2581,89
4204004,1994,1,1994-10-03,deputado federal,4467,0,3828,639,2115,953,757,2005,110
4204004,1994,1,1994-10-03,governador,4467,0,3828,639,3144,571,110,3144,0
4204004,1994,1,1994-10-03,presidente,4467,0,3828,639,3301,335,189,3301,0
4204004,1994,1,1994-10-03,senador,4467,0,3828,639,5037,2058,558,5037,0
4204103,1994,1,1994-10-03,deputado estadual,4559,0,3874,685,2771,632,468,2605,166
4204103,1994,1,1994-10-03,deputado federal,4559,0,3874,685,2398,898,575,2252,146
4204103,1994,1,1994-10-03,governador,4559,0,3874,685,3342,466,63,3342,0
4204103,1994,1,1994-10-03,presidente,4559,0,3874,685,3443,307,121,3443,0
4204103,1994,1,1994-10-03,senador,4559,0,3874,685,5363,2169,213,5363,0
4204152,1994,1,1994-10-03,deputado estadual,2588,0,2090,498,1447,366,274,1432,15
4204152,1994,1,1994-10-03,deputado federal,2588,0,2090,498,1255,552,280,1232,23
4204152,1994,1,1994-10-03,governador,2588,0,2090,498,1686,361,40,1686,0
4204152,1994,1,1994-10-03,presidente,2588,0,2090,498,1751,263,73,1751,0
4204152,1994,1,1994-10-03,senador,2588,0,2090,498,2631,1408,138,2631,0
4204178,1994,1,1994-10-03,deputado estadual,3254,0,2594,660,1663,551,377,1658,5
4204178,1994,1,1994-10-03,deputado federal,3254,0,2594,660,1454,730,407,1444,10
4204178,1994,1,1994-10-03,governador,3254,0,2594,660,2002,525,64,2002,0
4204178,1994,1,1994-10-03,presidente,3254,0,2594,660,2058,374,159,2058,0
4204178,1994,1,1994-10-03,senador,3254,0,2594,660,2765,2252,168,2765,0
4204202,1994,1,1994-10-03,deputado estadual,72201,0,61744,10457,41836,7926,11980,39128,2708
4204202,1994,1,1994-10-03,deputado federal,72201,0,61744,10457,34036,13148,14558,30887,3149
4204202,1994,1,1994-10-03,governador,72201,0,61744,10457,50179,9492,2070,50179,0
4204202,1994,1,1994-10-03,presidente,72201,0,61744,10457,54972,3682,3087,54972,0
4204202,1994,1,1994-10-03,senador,72201,0,61744,10457,80994,34504,7987,80994,0
4204251,1994,1,1994-10-03,deputado estadual,7339,0,6666,673,4519,884,1260,4405,114
4204251,1994,1,1994-10-03,deputado federal,7339,0,6666,673,4308,1119,1236,4170,138
4204251,1994,1,1994-10-03,governador,7339,0,6666,673,5228,1069,366,5228,0
4204251,1994,1,1994-10-03,presidente,7339,0,6666,673,5900,391,372,5900,0
4204251,1994,1,1994-10-03,senador,7339,0,6666,673,8205,4085,1039,8205,0
4204301,1994,1,1994-10-03,deputado estadual,40648,0,36117,4531,28528,2705,4881,27957,571
4204301,1994,1,1994-10-03,deputado federal,40648,0,36117,4531,19797,8856,7461,18451,1346
4204301,1994,1,1994-10-03,governador,40648,0,36117,4531,28383,6156,1575,28383,0
4204301,1994,1,1994-10-03,presidente,40648,0,36117,4531,32156,1929,2029,32156,0
4204301,1994,1,1994-10-03,senador,40648,0,36117,4531,46785,20376,5070,46785,0
4204350,1994,1,1994-10-03,deputado estadual,2251,0,2006,245,1282,306,415,1216,66
4204350,1994,1,1994-10-03,deputado federal,2251,0,2006,245,1050,465,488,985,65
4204350,1994,1,1994-10-03,governador,2251,0,2006,245,1632,332,39,1632,0
4204350,1994,1,1994-10-03,presidente,2251,0,2006,245,1755,154,94,1755,0
4204350,1994,1,1994-10-03,senador,2251,0,2006,245,2609,1178,222,2609,0
4204400,1994,1,1994-10-03,deputado estadual,7028,0,6126,902,4051,817,1255,3808,243
4204400,1994,1,1994-10-03,deputado federal,7028,0,6126,902,3537,1262,1324,3278,259
4204400,1994,1,1994-10-03,governador,7028,0,6126,902,4839,1060,224,4839,0
4204400,1994,1,1994-10-03,presidente,7028,0,6126,902,5324,461,338,5324,0
4204400,1994,1,1994-10-03,senador,7028,0,6126,902,7630,3779,840,7630,0
4204459,1994,1,1994-10-03,deputado estadual,1991,0,1731,260,1230,261,237,1163,67
4204459,1994,1,1994-10-03,deputado federal,1991,0,1731,260,1174,255,299,1129,45
4204459,1994,1,1994-10-03,governador,1991,0,1731,260,1409,262,57,1409,0
4204459,1994,1,1994-10-03,presidente,1991,0,1731,260,1526,123,79,1526,0
4204459,1994,1,1994-10-03,senador,1991,0,1731,260,2451,885,123,2451,0
4204509,1994,1,1994-10-03,deputado estadual,7900,0,7136,764,4836,764,1533,4713,123
4204509,1994,1,1994-10-03,deputado federal,7900,0,7136,764,4227,1146,1760,4044,183
4204509,1994,1,1994-10-03,governador,7900,0,7136,764,5728,997,408,5728,0
4204509,1994,1,1994-10-03,presidente,7900,0,7136,764,6178,476,479,6178,0
4204509,1994,1,1994-10-03,senador,7900,0,7136,764,9658,3309,1302,9658,0
4204558,1994,1,1994-10-03,deputado estadual,10401,0,8690,1711,6228,1209,1250,6139,89
4204558,1994,1,1994-10-03,deputado federal,10401,0,8690,1711,5733,1586,1368,5609,124
4204558,1994,1,1994-10-03,governador,10401,0,8690,1711,7289,1138,260,7289,0
4204558,1994,1,1994-10-03,presidente,10401,0,8690,1711,7472,755,460,7472,0
4204558,1994,1,1994-10-03,senador,10401,0,8690,1711,12051,4369,957,12051,0
